==========================================
视语灵枢项目 - 自动化训练日志启动
启动时间: 2026-05-08 16:17:57
日志保存至: logs/train_20260508_1617.log
==========================================

检测到断点，从 Epoch 5 继续炼丹...

[16:18:01] Epoch 5 | Step 0/18850 | Loss: 4.4202
[16:18:02] Epoch 5 | Step 20/18850 | Loss: 4.8560
[16:18:04] Epoch 5 | Step 40/18850 | Loss: 5.2603
[16:18:05] Epoch 5 | Step 60/18850 | Loss: 5.4494
[16:18:06] Epoch 5 | Step 80/18850 | Loss: 5.7148
[16:18:07] Epoch 5 | Step 100/18850 | Loss: 5.1174
[16:18:08] Epoch 5 | Step 120/18850 | Loss: 5.1180
[16:18:09] Epoch 5 | Step 140/18850 | Loss: 5.1553
[16:18:10] Epoch 5 | Step 160/18850 | Loss: 5.8447
[16:18:11] Epoch 5 | Step 180/18850 | Loss: 5.6243
[16:18:12] Epoch 5 | Step 200/18850 | Loss: 5.6535
[16:18:13] Epoch 5 | Step 220/18850 | Loss: 5.5712
[16:18:14] Epoch 5 | Step 240/18850 | Loss: 5.4213
[16:18:15] Epoch 5 | Step 260/18850 | Loss: 5.1114
[16:18:16] Epoch 5 | Step 280/18850 | Loss: 4.5436
[16:18:18] Epoch 5 | Step 300/18850 | Loss: 5.8466
[16:18:19] Epoch 5 | Step 320/18850 | Loss: 4.9772
[16:18:20] Epoch 5 | Step 340/18850 | Loss: 5.0091
[16:18:21] Epoch 5 | Step 360/18850 | Loss: 5.9265
[16:18:22] Epoch 5 | Step 380/18850 | Loss: 5.9234
[16:18:23] Epoch 5 | Step 400/18850 | Loss: 5.4188
[16:18:24] Epoch 5 | Step 420/18850 | Loss: 5.2209
[16:18:25] Epoch 5 | Step 440/18850 | Loss: 5.8575
[16:18:26] Epoch 5 | Step 460/18850 | Loss: 5.6883
[16:18:27] Epoch 5 | Step 480/18850 | Loss: 5.1124
[16:18:28] Epoch 5 | Step 500/18850 | Loss: 5.0877
[16:18:29] Epoch 5 | Step 520/18850 | Loss: 5.6700
[16:18:31] Epoch 5 | Step 540/18850 | Loss: 5.4444
[16:18:32] Epoch 5 | Step 560/18850 | Loss: 5.2108
[16:18:33] Epoch 5 | Step 580/18850 | Loss: 5.5940
[16:18:34] Epoch 5 | Step 600/18850 | Loss: 5.9073
[16:18:35] Epoch 5 | Step 620/18850 | Loss: 4.3952
[16:18:36] Epoch 5 | Step 640/18850 | Loss: 5.3861
[16:18:37] Epoch 5 | Step 660/18850 | Loss: 5.9911
[16:18:38] Epoch 5 | Step 680/18850 | Loss: 5.4246
[16:18:39] Epoch 5 | Step 700/18850 | Loss: 5.3441
[16:18:40] Epoch 5 | Step 720/18850 | Loss: 5.7757
[16:18:41] Epoch 5 | Step 740/18850 | Loss: 4.8177
[16:18:42] Epoch 5 | Step 760/18850 | Loss: 5.2959
[16:18:44] Epoch 5 | Step 780/18850 | Loss: 4.8482
[16:18:45] Epoch 5 | Step 800/18850 | Loss: 5.1404
[16:18:46] Epoch 5 | Step 820/18850 | Loss: 4.8811
[16:18:47] Epoch 5 | Step 840/18850 | Loss: 5.5005
[16:18:48] Epoch 5 | Step 860/18850 | Loss: 5.3948
[16:18:49] Epoch 5 | Step 880/18850 | Loss: 4.9175
[16:18:50] Epoch 5 | Step 900/18850 | Loss: 5.3017
[16:18:51] Epoch 5 | Step 920/18850 | Loss: 5.5692
[16:18:52] Epoch 5 | Step 940/18850 | Loss: 5.0482
[16:18:53] Epoch 5 | Step 960/18850 | Loss: 5.7732
[16:18:54] Epoch 5 | Step 980/18850 | Loss: 4.9289
[16:18:55] Epoch 5 | Step 1000/18850 | Loss: 5.1892
[16:18:56] Epoch 5 | Step 1020/18850 | Loss: 6.1762
[16:18:58] Epoch 5 | Step 1040/18850 | Loss: 5.4861
[16:18:59] Epoch 5 | Step 1060/18850 | Loss: 5.6492
[16:19:00] Epoch 5 | Step 1080/18850 | Loss: 5.7168
[16:19:01] Epoch 5 | Step 1100/18850 | Loss: 5.2468
[16:19:02] Epoch 5 | Step 1120/18850 | Loss: 5.8340
[16:19:03] Epoch 5 | Step 1140/18850 | Loss: 5.4906
[16:19:04] Epoch 5 | Step 1160/18850 | Loss: 5.4093
[16:19:05] Epoch 5 | Step 1180/18850 | Loss: 5.7148
[16:19:06] Epoch 5 | Step 1200/18850 | Loss: 5.6849
[16:19:07] Epoch 5 | Step 1220/18850 | Loss: 4.8993
[16:19:08] Epoch 5 | Step 1240/18850 | Loss: 5.0930
